id,map,category,type,name,worldX,worldY,worldZ,mapX,mapY,levelMin,levelMax,palId,subtype,biome,sourceId,sourceIndex
"palpagos-alpha-pal-1-173548-474295","palpagos","bosses","alpha-pal","Frostallion Noct","173548.3","474295.4","","689","648","65","65","icehorse_dark","","","","0"
"palpagos-alpha-pal-2--544943--264112","palpagos","bosses","alpha-pal","Nyafia","-544943.3","-264111.9","","-920","-917","60","60","badcatgirl","","","","1"
"palpagos-alpha-pal-3--1033348--358751","palpagos","bosses","alpha-pal","Moldron","-1033347.9","-358750.8","","-1126","-1981","70","70","volcanodragon","","","","2"
"palpagos-alpha-pal-4--821552-46132","palpagos","bosses","alpha-pal","Flaracle","-821552.1","46132.1","","-244","-1520","68","68","foxexorcist","","","","3"
"palpagos-alpha-pal-5-97716-307500","palpagos","bosses","alpha-pal","Suzaku","97716.3","307499.7","","326","483","45","45","suzaku","","","","4"
"palpagos-alpha-pal-6--206970-363810","palpagos","bosses","alpha-pal","Mossanda Lux","-206970","363810","","448","-181","31","31","grasspanda_electric","","","","5"
"palpagos-alpha-pal-7--162910-318720","palpagos","bosses","alpha-pal","Jormuntide","-162910","318720","","350","-85","55","55","umihebi","","","","6"
"palpagos-alpha-pal-8--661872--284992","palpagos","bosses","alpha-pal","Celesdir","-661871.9","-284991.8","","-965","-1172","65","65","whitedeer","","","","7"
"palpagos-alpha-pal-9--867561--441338","palpagos","bosses","alpha-pal","Faleris Aqua","-867560.9","-441338.2","","-1306","-1620","66","66","horus_water","","","","8"
"palpagos-alpha-pal-10-14681--132068","palpagos","bosses","alpha-pal","Lyleen","14681.1","-132067.6","","-632","302","58","59","lilyqueen","","","","9"
"palpagos-alpha-pal-11-262730-75740","palpagos","bosses","alpha-pal","Whalaska","262730","75740","","-179","842","55","55","icenarwhal","","","","10"
"palpagos-alpha-pal-12--343155-244585","palpagos","bosses","alpha-pal","Mammorest","-343155","244585","","189","-478","38","38","grassmammoth","","","","11"
"palpagos-alpha-pal-13--791868--337176","palpagos","bosses","alpha-pal","Splatterina","-791868.2","-337175.9","","-1079","-1455","65","65","grimgirl","","","","12"
"palpagos-alpha-pal-14--691249--309680","palpagos","bosses","alpha-pal","Warsect Terra","-691248.6","-309680.3","","-1019","-1236","64","64","herculesbeetle_ground","","","","13"
"palpagos-alpha-pal-15--122060-15810","palpagos","bosses","alpha-pal","Dumud","-122060","15810","","-310","4","14","14","lazycatfish","","","","14"
"palpagos-alpha-pal-16--822007--66402","palpagos","bosses","alpha-pal","Eidrolon","-822007","-66402","","-489","-1521","69","69","ghostdragon","","","","15"
"palpagos-alpha-pal-17--649837--235617","palpagos","bosses","alpha-pal","Fenglope Lux","-649837.1","-235616.7","","-858","-1146","60","60","fengyundeeper_electric","","","","16"
"palpagos-alpha-pal-18--169138-575683","palpagos","bosses","alpha-pal","Dualith","-169138.2","575683.1","","910","-99","55","55","grassgolem","","","","17"
"palpagos-alpha-pal-19--735438--95933","palpagos","bosses","alpha-pal","Jetragon","-735438.4","-95932.9","","-553","-1332","70","70","jetdragon","","","","18"
"palpagos-alpha-pal-20-122760-318710","palpagos","bosses","alpha-pal","Menasting","122760","318710","","350","537","44","44","darkscorpion","","","","19"
"palpagos-alpha-pal-21--246100-77200","palpagos","bosses","alpha-pal","Azurobe","-246100","77200","","-176","-266","40","40","bluedragon","","","","20"
"palpagos-alpha-pal-22-21746--109002","palpagos","bosses","alpha-pal","Menasting Terra","21745.5","-109001.6","","-582","317","55","55","darkscorpion_ground","","","","21"
